name;role;pma;pfc;slot;grade;expBonus;dpfcpma
PELLEGRI;A;2;1;6;39;6.40;-1
PETAGNA;A;4,9;32,9;5;74;6.49;28
PICCOLI;A;1,6;1;6;44;6.12;-1
PINAMONTI;A;25;27;5;65;6.56;2
RAFAEL LEAO;A;301,2;279;1;92;7.50;-22
RASPADORI;A;10,7;1;6;50;6.54;-10
SANABRIA;A;79,8;121,1;2;79;7.13;41
SECK;A;19;1;6;40;6.44;-18
SHOMURODOV;A;7,6;33,1;5;67;6.59;25
SIMEONE;A;10,1;38,4;4;46;7.18;28
SOLBAKKEN;A;1,9;1;6;49;6.23;-1
SOULE';A;2,8;1;6;35;6.33;-2
SUCCESS;A;1,9;1;6;45;6.56;-1
THAUVIN;A;4,2;9;6;62;6.44;5
VALENCIA D.;A;0;1;6;45;5.99;0
VIVALDO;A;0;1;6;33;5.91;0
VLAHOVIC;A;242,2;171,5;1;75;7.65;-70
VOELKERLING PERSSON;A;0;1;6;32;6.57;0
ZAPATA D.;A;38,9;37,1;4;53;6.94;-2
ZIRKZEE;A;2,4;1;6;51;6.53;-1
RETEGUI;A;95,8;125,9;2;84;7.08;30
THURAM;A;139,9;114,6;2;80;7.07;-25
LAPADULA;A;7,5;26,6;5;52;6.84;19
TOURE' E.;A;52,5;54,7;3;67;6.80;2
CASTELLANOS;A;11,9;41,8;4;52;7.02;30
CASO;A;3,5;14;6;82;6.24;10
MULATTIERI;A;3,2;4,6;6;54;6.52;2
OKAFOR;A;35,4;4,4;6;50;6.60;-31
ALMQVIST;A;2,5;3,4;6;64;6.36;0
BRENNER;A;2,3;1;6;56;6.43;-1
ESPOSITO;A;1,8;1;6;43;6.58;-1
PAVOLETTI;A;3,2;1;6;63;6.19;-2
LUCCA;A;2;1;6;48;6.38;-1
DIAW;A;0;1;6;47;6.38;0
CODA M.;A;2;1;6;53;6.27;-1
KVERNADZE;A;1,9;1;6;40;6.47;-1
BORRELLI;A;1,5;1;6;46;6.16;-1
CUNI;A;1,9;1;6;61;5.99;-1
LUVUMBO;A;7,5;1;6;44;6.17;-7
PUSCAS;A;0;1;6;44;6.05;0
MARIC;A;16,4;1;6;39;6.13;-15
YALCIN;A;0;1;6;43;6.02;0
EKUBAN;A;0;1;6;42;5.94;0
BIDAOUI;A;0;1;6;38;5.88;0
EKONG;A;0;1;6;34;5.86;0
SCAMACCA;A;157,2;108,5;3;77;7.08;-48
LATTE LATH;A;2,1;1;6;44;6.48;-1
ISAKSEN;A;4,8;1,5;6;51;6.55;-3
SHPENDI S.;A;2,2;1;6;32;6.48;-1
AKE' M.;A;0;1;6;37;6.16;0
NZOLA;A;103,8;122,5;2;86;7.02;19
ADAMONIS;P;1,7;1;3;9;4.74;-1
BAGNOLINI;P;1,6;1;3;9;4.50;-1
BERARDI A.;P;1,6;1;3;9;5.01;-1
BOER;P;1,8;1;3;9;4.74;-1
BRANCOLINI;P;1,7;1;3;9;4.00;-1
CARNESECCHI;P;31,8;41,6;2;80;5.10;10
CEROFOLINI;P;1,7;1;3;10;5.20;-1
CONSIGLI;P;4,6;10,1;2;80;4.75;5
CRAGNO;P;2,6;1;3;20;5.12;-2
DI GREGORIO;P;15,9;11,3;2;93;4.62;-5
FALCONE;P;3,9;16,4;2;90;4.71;12
FIORILLO;P;0;1;3;10;4.76;0
GEMELLO;P;1,6;1;3;9;4.65;-1
GOLLINI;P;1,7;1;3;10;4.90;-1
LAMANNA;P;1,8;1;3;9;3.91;-1
LUIS MAXIMIANO;P;1,6;1;3;13;5.53;-1
MAIGNAN;P;86,4;92,5;1;90;5.37;7
MERET;P;71,2;80,1;1;90;5.29;9
MILINKOVIC-SAVIC V.;P;18;11,8;2;83;4.74;-6
MIRANTE;P;1,6;1;3;9;4.63;-1
MONTIPO';P;3,2;5,4;3;93;4.54;2
MUSSO;P;5,6;1;3;20;5.05;-5
OCHOA;P;6,1;1;3;80;4.63;-5
PADELLI;P;1,6;1;3;10;4.50;-1
PEGOLO;P;1,8;1;3;10;5.32;-1
PERILLI;P;1,6;1;3;10;4.66;-1
PERIN;P;2,4;1;3;11;5.37;-1
PERISAN;P;1,6;1;3;20;4.98;-1
PIANA;P;1,5;1;3;9;4.74;-1
PINSOGLIO;P;1,7;1;3;9;4.81;-1
PROVEDEL;P;62,8;76,5;1;93;5.24;14
RAVAGLIA F.;P;1,5;1;3;11;5.01;-1
ROSSI F.;P;1,8;1;3;9;5.11;-1
RUI PATRICIO;P;51,8;51,7;1;93;5.04;0
SEPE;P;1,5;1;3;14;4.88;-1
SILVESTRI;P;12,1;29;2;93;4.83;17
SKORUPSKI;P;8,5;14,1;2;93;4.65;5
SORRENTINO A.;P;0;1;3;9;4.74;0
SPORTIELLO;P;1,7;1;3;12;5.13;-1
SVILAR;P;1,6;1;3;10;4.80;-1
SZCZESNY;P;80,1;77,5;1;82;5.36;-2
TERRACCIANO;P;12;8,9;3;82;4.71;-3
MARTINEZ JO.;P;2,7;1;3;88;4.51;-2
RADUNOVIC;P;1,9;1;3;81;4.37;-1
TURATI;P;1,8;1;3;92;4.31;-1
CAPRILE;P;4,6;1;3;80;4.05;-4
COSTIL;P;1,4;1;3;15;5.22;0
LEALI;P;1,9;1;3;17;4.72;-1
POPA;P;1,7;1;3;10;4.06;-1
MARTINELLI T.;P;1,4;1;3;9;4.64;0
STUBLJAR;P;1,4;1;3;9;4.64;0
SCUFFET;P;1,8;1;3;15;4.14;-1
